meter_id_,location_id_,feeder_id_,transformer_id_,band_,fault_type_,is_industrial_,date_,energy_consumed_kwh_sum,expected_energy_kwh_sum,expected_energy_pf_calc_sum,total_vended_amount_sum,revenue_loss_sum,tamper_cost_estimate_sum,energy_loss_kwh_sum,energy_loss_flag_sum,fault_flag_sum,tamper_flag_sum,uptime_flag_sum,supply_voltage_flag_sum,pf_delta_mean,load_generation_gap_mean,load_gap_flag_sum,service_availability_ratio_mean,unresolved_fault_days_mean,customer_risk_score_mean,power_factor_mean,power_factor_min,v_agg_mean,v_agg_min,v_agg_max,i_agg_mean,i_agg_min,i_agg_max,tariff_per_kwh_mean,band_compliance_max,fault_detected,tamper_detected,energy_loss_ratio,supply_hours,uptime_hours,energy_efficiency_ratio,anomaly_category,anomaly_severity_score,anomaly_summary_note
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-01,16204.25,17557.16,2.587475408514856,3669446.39,282758.18999999994,0.0,1352.91,1,1,0,1,1,-0.0012338,-16201.662524591486,1,0.2083333333333333,1.0,2.5,0.8302122,0.8302122,225.74458,225.74458,225.74458,13.806061,13.806061,13.806061,209.0,0,1,0,0.0770574512050924,1,1,0.9229425487949076,"fault,loss,mismatch",8,"Detected: fault,loss,mismatch | Risk=8"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-02,46630.63,47854.81,15.776636471111106,10001657.54,255853.62000000017,255853.62000000017,1224.1800000000007,3,5,5,5,5,0.002787348000000022,-9322.970672705776,5,0.1833333333333333,3.6,4.5,0.88562121,0.8241975,227.603812,223.87303,231.53203,15.774081599999999,12.453601,18.434845,209.0,0,1,1,0.025581127581532574,5,5,0.9744188724184675,"fault,tamper,loss,mismatch",24,"Detected: fault,tamper,loss,mismatch | Risk=24"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-03,94830.38,96506.48,19.028260632440762,20169853.66,350304.8999999998,350304.8999999998,1676.0999999999995,2,5,5,5,5,0.001120295999999979,-18962.270347873513,5,0.17499999999999996,3.0,4.5,0.916073254,0.84073997,230.82576600000002,227.94075,233.40985,18.149141800000002,14.30573,21.249258,209.0,0,1,1,0.017367745668477385,5,5,0.9826322543315227,"fault,tamper,loss,mismatch",22,"Detected: fault,tamper,loss,mismatch | Risk=22"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-04,52184.95,57250.649999999994,8.55670401936315,11965386.14,1058731.3,1058731.3,5065.700000000001,3,3,3,3,3,-0.03325730333333333,-17392.131098660215,3,0.16666666666666663,3.0,4.5,0.90569208,0.84513193,223.54988333333333,218.56975,227.0144,13.975017833333334,11.3282585,18.602657,209.0,0,1,1,0.08848283818611669,3,3,0.9115171618138834,"fault,tamper,loss,mismatch",20,"Detected: fault,tamper,loss,mismatch | Risk=20"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-05,37430.55,38694.51,9.939339790735083,8087152.029999999,264167.6400000003,0.0,1263.960000000001,2,3,0,3,3,0.013851526666666664,-12473.536886736423,3,0.2083333333333333,2.6666666666666665,2.5,0.9332731666666666,0.9166393,228.42889,221.77594,232.59691,15.598241,14.102881,18.084946,209.0,0,1,0,0.032665099002416646,3,3,0.9673349009975835,"fault,loss,mismatch",14,"Detected: fault,loss,mismatch | Risk=14"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-06,17377.23,19667.62,3.007996119019525,4110532.43,478691.5099999999,478691.5099999999,2290.3899999999994,1,1,1,1,1,-0.0476593399999999,-17374.22200388098,1,0.2083333333333333,2.0,4.5,0.8880763,0.8880763,228.08476,228.08476,228.08476,14.850146,14.850146,14.850146,209.0,0,1,1,0.11645486337441946,1,1,0.8835451366255805,"fault,tamper,loss,mismatch",12,"Detected: fault,tamper,loss,mismatch | Risk=12"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-08,116631.44,116872.12,22.54782083038203,24426270.17,50302.11999999995,13212.980000001,240.67999999999984,4,8,2,8,8,0.01810640375,-14576.111522396202,8,0.18749999999999994,2.5,3.0,0.90553589875,0.8637086,233.1297075,222.83098,243.64034,13.408949125,9.987431,17.38697,209.0,0,1,1,0.002059344863428505,8,8,0.9979406551365716,"fault,tamper,loss,mismatch",32,"Detected: fault,tamper,loss,mismatch | Risk=32"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-09,49072.47,52370.54,10.451106162986214,10945442.98,689296.6300000004,0.0,3298.0700000000015,3,4,0,4,4,0.009061550000000024,-12265.504723459253,4,0.2083333333333333,3.0,2.5,0.9056539,0.8593275,229.6593,224.83606,233.1685,12.50697575,9.971279,15.257317,209.0,0,1,0,0.06297567296422762,4,4,0.9370243270357724,"fault,loss,mismatch",18,"Detected: fault,loss,mismatch | Risk=18"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-10,23721.22,22589.87,6.850131962055316,4721283.23,-236452.15000000008,0.0,-1131.3500000000001,1,2,0,2,2,-0.0189381,-11857.184934018973,2,0.2083333333333333,2.5,2.5,0.8812533300000001,0.83802676,225.36022,224.49504,226.2254,17.2661085,16.826342,17.705875,209.0,0,1,0,-0.05008218285452728,2,2,1.0500821828545275,"fault,loss,mismatch",10,"Detected: fault,loss,mismatch | Risk=10"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-11,55513.7,58000.46,13.106538454819418,12122096.77,519732.8399999996,519732.8399999996,2486.7599999999984,3,4,4,4,4,-0.02266359999999995,-13875.148365386296,4,0.16666666666666663,4.5,4.5,0.9159240625,0.8954558,233.63631750000002,226.26308,237.18579,15.321012,11.14482,17.289938,209.0,0,1,1,0.04287483237201909,4,4,0.9571251676279808,"fault,tamper,loss,mismatch",22,"Detected: fault,tamper,loss,mismatch | Risk=22"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-12,44698.350000000006,47860.61,15.106743930631739,10002867.76,660912.3399999997,660912.3399999997,3162.259999999999,2,5,5,5,5,-0.03598991999999994,-8936.648651213874,5,0.19999999999999996,2.4,4.5,0.8660956799999999,0.8266371,230.0123,226.42348,233.31181,15.1522216,13.094361,16.895885,209.0,0,1,1,0.06607228783753485,5,5,0.9339277121624653,"fault,tamper,loss,mismatch",22,"Detected: fault,tamper,loss,mismatch | Risk=22"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-14,33821.92,37047.770000000004,5.60376049095946,7742984.49,674202.65,0.0,3225.8500000000004,2,2,0,2,2,0.0,-16908.15811975452,2,0.18749999999999994,1.0,2.5,0.861048625,0.8360624,227.841985,225.72511,229.95886,14.3019,13.681026,14.922774,209.0,0,1,0,0.0870727171972834,2,2,0.9129272828027164,"fault,loss,mismatch",12,"Detected: fault,loss,mismatch | Risk=12"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-15,8575.02,8803.8,3.2190835402473663,1839995.06,47815.01999999976,47815.01999999976,228.77999999999884,1,1,1,1,1,0.11019785,-8571.800916459753,1,0.1666666666666666,1.0,4.5,0.8947363,0.8947363,226.00195,226.00195,226.00195,15.919338,15.919338,15.919338,209.0,0,1,1,0.02598650582702911,1,1,0.9740134941729709,"fault,tamper,loss,mismatch",12,"Detected: fault,tamper,loss,mismatch | Risk=12"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-16,103792.45,108026.57,16.61734084452698,22577553.21,884931.0800000009,-342734.91999999946,4234.120000000004,3,6,2,6,6,0.02398877999999997,-17295.972109859245,6,0.19444444444444442,3.0,3.1666666666666665,0.9296422633333333,0.8786738,231.30500333333336,228.7536,234.89925,12.906519333333334,8.489401,15.926498,209.0,0,1,1,0.03919517207664748,6,6,0.9608048279233524,"fault,tamper,loss,mismatch",26,"Detected: fault,tamper,loss,mismatch | Risk=26"
EKEDC_000001,Island,FDR_047,DMG_1276,A,modem_fault,1,2025-04-17,49077.87,56455.54,12.145119982987412,11799208.86,1541933.0300000003,1541933.0300000003,7377.670000000002,4,4,4,4,4,-0.021736739999999952,-12266.431220004253,4,0.1770833333333333,3.25,4.5,0.9026366525,0.8755003,226.7914925,221.89783,231.06714,14.8537565,13.304169,16.110949,209.0,0,1,1,0.13068106336419777,4,4,0.8693189366358023,"fault,tamper,loss,mismatch",24,"Detected: fault,tamper,loss,mismatch | Risk=24"
